PERSON_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,SEASON_EXP
1630173,Precious,Achiuwa,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,2020,1,20,2
203500,Steven,Adams,Center,6-11,265,New Zealand,1993-07-20T00:00:00,2013,1,12,9
1628389,Bam,Adebayo,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,2017,1,14,5
1630583,Santi,Aldama,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,2021,1,30,1
200746,LaMarcus,Aldridge,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,2006,1,2,16
1629638,Nickeil,Alexander-Walker,Guard,6-5,205,Canada,1998-09-02T00:00:00,2019,1,17,3
1628960,Grayson,Allen,Guard,6-4,198,USA,1995-10-08T00:00:00,2018,1,21,4
1628386,Jarrett,Allen,Center,6-10,243,USA,1998-04-21T00:00:00,2017,1,22,5
1630631,Jose,Alvarado,Guard,6-0,179,USA,1998-04-12T00:00:00,Undrafted,Undrafted,Undrafted,1
203937,Kyle,Anderson,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,2014,1,30,8
203507,Giannis,Antetokounmpo,Forward,6-11,242,Greece,1994-12-06T00:00:00,2013,1,15,9
203648,Thanasis,Antetokounmpo,Forward,6-6,219,Greece,1992-07-18T00:00:00,2014,2,51,4
2546,Carmelo,Anthony,Forward,6-7,238,USA,1984-05-29T00:00:00,2003,1,3,19
1630175,Cole,Anthony,Guard,6-3,185,USA,2000-05-15T00:00:00,2020,1,15,2
1628384,OG,Anunoby,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,2017,1,23,5
1627853,Ryan,Arcidiacono,Guard,6-3,195,USA,1994-03-26T00:00:00,Undrafted,Undrafted,Undrafted,6
201571,D.J.,Augustin,Guard,5-11,183,USA,1987-11-10T00:00:00,2008,1,9,14
1630166,Deni,Avdija,Forward,6-9,210,Israel,2001-01-03T00:00:00,2020,1,9,2
1629028,Deandre,Ayton,Center,6-11,250,Bahamas,1998-07-23T00:00:00,2018,1,1,4
1628962,Udoka,Azubuike,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,2020,1,27,2
1628963,Marvin,Bagley III,Forward,6-11,235,USA,1999-03-14T00:00:00,2018,1,2,4
1630163,LaMelo,Ball,Guard,6-7,180,USA,2001-08-22T00:00:00,2020,1,3,2
1628366,Lonzo,Ball,Guard,6-6,190,USA,1997-10-27T00:00:00,2017,1,2,5
1628964,Mo,Bamba,Center,7-0,231,USA,1998-05-12T00:00:00,2018,1,6,4
1630217,Desmond,Bane,Guard,6-5,215,USA,1998-06-25T00:00:00,2020,1,30,2
1630625,Dalano,Banton,Forward,6-7,204,Canada,1999-11-07T00:00:00,2021,2,46,1
203084,Harrison,Barnes,Forward,6-8,225,USA,1992-05-30T00:00:00,2012,1,7,10
1630567,Scottie,Barnes,Forward,6-7,225,USA,2001-08-01T00:00:00,2021,1,4,1
1629628,RJ,Barrett,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2019,1,3,3
203115,Will,Barton,Guard,6-5,181,USA,1991-01-06T00:00:00,2012,2,40,10
1629646,Charles,Bassey,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,2021,2,53,1
1628966,Keita,Bates-Diop,Forward,6-8,229,USA,1996-01-23T00:00:00,2018,2,48,4
201587,Nicolas,Batum,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,2008,1,25,14
203145,Kent,Bazemore,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,Undrafted,Undrafted,Undrafted,10
1629647,Darius,Bazley,Forward,6-8,208,USA,2000-06-12T00:00:00,2019,1,23,3
203078,Bradley,Beal,Guard,6-4,207,USA,1993-06-28T00:00:00,2012,1,3,10
1627736,Malik,Beasley,Guard,6-4,187,USA,1996-11-26T00:00:00,2016,1,19,6
202722,Davis,Bertans,Forward,6-10,225,Latvia,1992-11-12T00:00:00,2011,2,42,6
201976,Patrick,Beverley,Guard,6-1,180,USA,1988-07-12T00:00:00,2009,2,42,10
1630180,Saddiq,Bey,Forward,6-7,215,USA,1999-04-09T00:00:00,2020,1,19,2
203920,Khem,Birch,Center,6-9,233,Canada,1992-09-28T00:00:00,Undrafted,Undrafted,Undrafted,5
1629048,Goga,Bitadze,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2019,1,18,3
202687,Bismack,Biyombo,Center,6-8,255,DRC,1992-08-28T00:00:00,2011,1,7,11
202357,Nemanja,Bjelica,Forward,6-9,234,Serbia,1988-05-09T00:00:00,2010,2,35,8
202339,Eric,Bledsoe,Guard,6-1,214,USA,1989-12-09T00:00:00,2010,1,18,13
